"","Country","Year","Age","Deaths_females","Deaths_males"
"377","Finland","2020",80,4223.997652232,4528.125932153
"378","Finland","2020",85,5862.963825936,4383.70503581
"379","Finland","2020",90,5827.51565478,2808.7847856
"380","Finland","2020",95,2898.99894614,804.96401414
"381","France","2020",0,5007.86612,5999.071366
"382","France","2020",5,122.340672,149.69355
"383","France","2020",10,142.420153,181.980703
"384","France","2020",15,292.883822,665.29191
"385","France","2020",20,378.409869,1085.861112
"386","France","2020",25,446.316817,1197.101961
"387","France","2020",30,661.153136,1464.417342
"388","France","2020",35,1194.71904,2196.882552
"389","France","2020",40,1995.757486,3496.60836
"390","France","2020",45,3735.765128,6811.09646
"391","France","2020",50,5730.86745,11266.616319
"392","France","2020",55,7785.379297,16174.166811
"393","France","2020",60,9896.78446,19777.609654
"394","France","2020",65,13349.852672,25541.241002
"395","France","2020",70,19728.45726,34504.69118
"396","France","2020",75,22463.116974,34089.251405
"397","France","2020",80,39925.8951,45941.492738
"398","France","2020",85,66519.400372,54527.811489
"399","France","2020",90,71155.731168,39514.616733
"400","France","2020",95,46002.476476,15550.586208
"401","Germany","2020",0,5716.832519712,7268.08506662
"402","Germany","2020",5,97.964452,157.6276
"403","Germany","2020",10,110.304761,188.0373
"404","Germany","2020",15,312.535125,820.894171612
"405","Germany","2020",20,404.92155786,1256.030448736
"406","Germany","2020",25,503.067698421,1297.04897433
"407","Germany","2020",30,823.548534429,1800.195367056
"408","Germany","2020",35,1364.3738421,2624.293172035
"409","Germany","2020",40,2262.548153565,4116.008141762
"410","Germany","2020",45,4037.16778101,7404.97181463
"411","Germany","2020",50,8273.80778064,16004.015266687
"412","Germany","2020",55,12490.346249498,25486.919965372
"413","Germany","2020",60,16442.897134597,32489.811499546
"414","Germany","2020",65,21988.459449284,39006.199302278
"415","Germany","2020",70,30032.944607054,46802.097507312
"416","Germany","2020",75,55859.379199833,71179.99771778
"417","Germany","2020",80,106193.5394982,105801.103760483
"418","Germany","2020",85,97290.226438068,72096.85270284
"419","Germany","2020",90,84428.23947584,42724.15690443
"420","Germany","2020",95,45328.12640339,13092.22790874
"421","Greece","2020",0,492.255496152,663.9781244
"422","Greece","2020",5,17.4034959,24.113925
"423","Greece","2020",10,22.5513288,24.1123063
"424","Greece","2020",15,24.7478348,70.219423704
"425","Greece","2020",20,45.849671334,138.71299365
"426","Greece","2020",25,46.082937222,174.762965843
"427","Greece","2020",30,100.449764728,251.880155604
"428","Greece","2020",35,162.866881045,362.86414458
"429","Greece","2020",40,319.159758192,590.904372693
"430","Greece","2020",45,496.45536199,1174.881982176
"431","Greece","2020",50,862.994948382,1811.47944087
"432","Greece","2020",55,1229.316645505,2702.651052934
"433","Greece","2020",60,1526.849992122,3538.635650478
"434","Greece","2020",65,2060.42869755,4303.717238975
"435","Greece","2020",70,3080.519891575,5415.68460579
"436","Greece","2020",75,4872.297506208,6805.069515062
"437","Greece","2020",80,11870.645891068,10770.69578029
"438","Greece","2020",85,16598.51380707,12164.29571793
"439","Greece","2020",90,11078.6306944,7421.69609391
"440","Greece","2020",95,4608.84370806,2813.53538312
"441","India","2020",0,1830868.98157914,2015120.04947245
"442","India","2020",5,42319.745399568,42234.571086795
"443","India","2020",10,36379.389007116,39630.40680816
"444","India","2020",15,59387.951560553,60169.91327066
"445","India","2020",20,74281.272365869,94508.643371457
"446","India","2020",25,75428.44574287,107597.183122582
"447","India","2020",30,82131.72788658,141269.057383352
"448","India","2020",35,99180.44489512,186753.299675712
"449","India","2020",40,126251.258472675,209598.017773914
"450","India","2020",45,154551.0299111,271515.326421165
"451","India","2020",50,256255.522728249,339383.030340942
"452","India","2020",55,308412.634649244,460682.226734336
"453","India","2020",60,427157.2712024,523848.348777392
"454","India","2020",65,520932.514818948,623085.565092828
"455","India","2020",70,552488.36547744,599407.26205016
"456","India","2020",75,533290.232002896,543987.048179727
"457","India","2020",80,502348.96833408,441582.27940543
"458","India","2020",85,320187.61570425,274511.43211808
"459","India","2020",90,134506.43665877,111423.74037292
"460","India","2020",95,36419.31602,26298.582382
"461","Ireland","2020",0,407.913426,442.18972
"462","Ireland","2020",5,11.337365,12.87083
"463","Ireland","2020",10,12.051264,17.295225
"464","Ireland","2020",15,25.27173,50.83968
"465","Ireland","2020",20,28.746618,109.852834
"466","Ireland","2020",25,36.160575,99.826986
"467","Ireland","2020",30,58.505625,125.184248
"468","Ireland","2020",35,93.879018,184.6819
"469","Ireland","2020",40,167.834688,261.56438
"470","Ireland","2020",45,260.80002,395.309987
"471","Ireland","2020",50,350.757126,498.675391
"472","Ireland","2020",55,522.427152,711.36604
"473","Ireland","2020",60,712.9251,981.607133
"474","Ireland","2020",65,1036.068072,1430.062068
"475","Ireland","2020",70,1429.7443,1991.795436
"476","Ireland","2020",75,1840.386174,2321.763752
"477","Ireland","2020",80,2488.882336,2818.193296
"478","Ireland","2020",85,2639.21685,2361.7233
"479","Ireland","2020",90,2133.722768,1259.515958
"480","Ireland","2020",95,1294.251424,489.7305
"481","Italy","2020",0,2741.63475305,3319.466990454
"482","Italy","2020",5,83.952936,83.4461717
"483","Italy","2020",10,92.941261,119.6721636
"484","Italy","2020",15,172.40282586,389.089015595
"485","Italy","2020",20,208.386518717,593.330102859
"486","Italy","2020",25,226.6923555,677.42186768
"487","Italy","2020",30,385.352569296,823.392301952
"488","Italy","2020",35,658.816676091,1164.646895841
"489","Italy","2020",40,1344.934992885,2155.259979333
"490","Italy","2020",45,2781.4260789,4326.47602765
"491","Italy","2020",50,4589.77746762,7137.426572412
"492","Italy","2020",55,6606.745991268,10778.853093916
"493","Italy","2020",60,8808.48887106,14882.327625195
"494","Italy","2020",65,12360.3974301,20962.8423784
"495","Italy","2020",70,19543.368445674,31098.0206544
"496","Italy","2020",75,30217.027263759,41714.562837041
"497","Italy","2020",80,57871.180717281,66010.35230036
"498","Italy","2020",85,80199.828707856,64159.84541642
"499","Italy","2020",90,75101.66459271,39015.54718256
"500","Italy","2020",95,42154.4849544,14419.15429464
"501","Japan","2020",0,3928.65343,4515.05456
"502","Japan","2020",5,188.6908308,250.1680764
"503","Japan","2020",10,172.4765406,272.832804
"504","Japan","2020",15,371.096128446,777.430723662
"505","Japan","2020",20,635.349963233,1531.22978786
"506","Japan","2020",25,786.186527828,1693.728134856
"507","Japan","2020",30,1122.270780437,2127.57799616
"508","Japan","2020",35,1788.01075646,3182.774069965
"509","Japan","2020",40,3032.731883376,5464.5433713
"510","Japan","2020",45,5549.176505213,10147.26891376
"511","Japan","2020",50,7295.636450538,14090.44335836
"512","Japan","2020",55,9348.905576057,19992.583011753
"513","Japan","2020",60,12985.88912166,30235.183079392
"514","Japan","2020",65,21896.004687093,50998.9683584
"515","Japan","2020",70,39568.43845944,82537.749766934
"516","Japan","2020",75,58700.465955808,104082.991326216
"517","Japan","2020",80,94845.343200768,134557.967626099
"518","Japan","2020",85,148292.784818793,141470.49132174
"519","Japan","2020",90,163115.39041812,94072.11337888
