"","Country","Year","Age","Female","Male","Total"
"412","Canada","2017",55,1309444,1311348,2620792
"413","Canada","2017",60,1137271,1099315,2236586
"414","Canada","2017",65,975544,941078,1916622
"415","Canada","2017",70,718972,652110,1371082
"416","Canada","2017",75,536404,452242,988646
"417","Canada","2017",80,423543,319415,742958
"418","Canada","2017",85,303137,186665,489802
"419","Canada","2017",90,151219,65652,216871
"420","Canada","2017",95,45039,12568,57607
"421","Chile","2017",0,609038,632259,1241297
"422","Chile","2017",5,604834,627125,1231959
"423","Chile","2017",10,600379,622128,1222507
"424","Chile","2017",15,655461,678361,1333822
"425","Chile","2017",20,727919,749958,1477877
"426","Chile","2017",25,715633,733072,1448705
"427","Chile","2017",30,664683,675712,1340395
"428","Chile","2017",35,644937,648046,1292983
"429","Chile","2017",40,624415,618165,1242580
"430","Chile","2017",45,615831,599372,1215203
"431","Chile","2017",50,590203,562786,1152989
"432","Chile","2017",55,524856,487466,1012322
"433","Chile","2017",60,449278,403331,852609
"434","Chile","2017",65,338542,293251,631793
"435","Chile","2017",70,262990,209314,472304
"436","Chile","2017",75,202010,143252,345262
"437","Chile","2017",80,149583,91914,241497
"438","Chile","2017",85,95042,49718,144760
"439","Chile","2017",90,36731,15711,52442
"440","Chile","2017",95,12191,3859,16050
"441","China","2017",0,40500636,46437638,86938274
"442","China","2017",5,38976431,45436987,84413418
"443","China","2017",10,38373649,44264668,82638317
"444","China","2017",15,41121099,46554380,87675479
"445","China","2017",20,46729764,51864604,98594368
"446","China","2017",25,62590787,66864149,129454936
"447","China","2017",30,48999501,51711405,100710906
"448","China","2017",35,47266940,49705968,96972908
"449","China","2017",40,59110474,61857540,120968014
"450","China","2017",45,61773461,63435589,125209050
"451","China","2017",50,49666375,51414420,101080795
"452","China","2017",55,39852704,40972684,80825388
"453","China","2017",60,39907887,40173473,80081360
"454","China","2017",65,26217514,25506514,51724028
"455","China","2017",70,17360441,16608422,33968863
"456","China","2017",75,12847147,11127053,23974200
"457","China","2017",80,8076861,5816694,13893555
"458","China","2017",85,3544586,2143736,5688322
"459","China","2017",90,1134237,518059,1652296
"460","China","2017",95,289368,94023,383391
"461","Colombia","2017",0,1793917,1876969,3670886
"462","Colombia","2017",5,1866777,1951394,3818171
"463","Colombia","2017",10,2038720,2128883,4167603
"464","Colombia","2017",15,2094847,2177928,4272775
"465","Colombia","2017",20,2113537,2176302,4289839
"466","Colombia","2017",25,1967102,1986138,3953240
"467","Colombia","2017",30,1868706,1824393,3693099
"468","Colombia","2017",35,1756798,1636969,3393767
"469","Colombia","2017",40,1604324,1422125,3026449
"470","Colombia","2017",45,1547014,1386636,2933650
"471","Colombia","2017",50,1418647,1271889,2690536
"472","Colombia","2017",55,1163687,999708,2163395
"473","Colombia","2017",60,961083,829605,1790688
"474","Colombia","2017",65,706743,603242,1309985
"475","Colombia","2017",70,510254,413871,924125
"476","Colombia","2017",75,372542,290066,662608
"477","Colombia","2017",80,249883,181924,431807
"478","Colombia","2017",85,130334,88592,218926
"479","Colombia","2017",90,51359,32952,84311
"480","Colombia","2017",95,15612,9195,24807
"481","Dominican Republic","2017",0,491565,512129,1003694
"482","Dominican Republic","2017",5,481358,500900,982258
"483","Dominican Republic","2017",10,479706,498389,978095
"484","Dominican Republic","2017",15,479173,495993,975166
"485","Dominican Republic","2017",20,472771,478577,951348
"486","Dominican Republic","2017",25,429249,426795,856044
"487","Dominican Republic","2017",30,376550,386513,763063
"488","Dominican Republic","2017",35,344780,343579,688359
"489","Dominican Republic","2017",40,315230,309909,625139
"490","Dominican Republic","2017",45,285110,275564,560674
"491","Dominican Republic","2017",50,251607,242602,494209
"492","Dominican Republic","2017",55,209851,203412,413263
"493","Dominican Republic","2017",60,163871,157186,321057
"494","Dominican Republic","2017",65,120182,112573,232755
"495","Dominican Republic","2017",70,87068,79772,166840
"496","Dominican Republic","2017",75,67103,59076,126179
"497","Dominican Republic","2017",80,42979,36159,79138
"498","Dominican Republic","2017",85,22514,18106,40620
"499","Dominican Republic","2017",90,9566,7267,16833
"500","Dominican Republic","2017",95,4075,2866,6941
"501","Ecuador","2017",0,787149,822862,1610011
"502","Ecuador","2017",5,760340,794295,1554635
"503","Ecuador","2017",10,756875,789499,1546374
"504","Ecuador","2017",15,755149,786168,1541317
"505","Ecuador","2017",20,713775,735549,1449324
"506","Ecuador","2017",25,669827,681957,1351784
"507","Ecuador","2017",30,610657,614839,1225496
"508","Ecuador","2017",35,553089,548047,1101136
"509","Ecuador","2017",40,503764,493352,997116
"510","Ecuador","2017",45,444974,432969,877943
"511","Ecuador","2017",50,379523,366209,745732
"512","Ecuador","2017",55,320570,305058,625628
"513","Ecuador","2017",60,265846,249292,515138
"514","Ecuador","2017",65,187100,172340,359440
"515","Ecuador","2017",70,149403,133201,282604
"516","Ecuador","2017",75,106006,90346,196352
"517","Ecuador","2017",80,69963,56207,126170
"518","Ecuador","2017",85,38423,28960,67383
"519","Ecuador","2017",90,17058,10959,28017
"520","Ecuador","2017",95,7572,2850,10422
"521","France","2017",0,1902018,1990811,3892829
"522","France","2017",5,1942109,2033212,3975321
"523","France","2017",10,1933550,2027014,3960564
"524","France","2017",15,1871403,1955823,3827226
"525","France","2017",20,1843259,1876337,3719596
"526","France","2017",25,1952920,1922794,3875714
